OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|OID_COUNTY_20|GEOID_COUNTY_20|NAMELSAD_COUNTY_20|AREALAND_COUNTY_20|AREAWATER_COUNTY_20|MTFCC_COUNTY_20|CLASSFP_COUNTY_20|FUNCSTAT_COUNTY_20|AREALAND_PART|AREAWATER_PART
||||||||275903025880905|02195|Petersburg Borough|7512659846|2385852278|G4020|H1|A|2524791777|1218208099
||||||||275903025880880|02198|Prince of Wales-Hyder Census Area|13643344240|14612163807|G4020|H5|S|2713111660|11995182452
||||||||27590500615976|02220|Sitka City and Borough|7433415763|5037747536|G4020|H6|C|776849037|3794465614
||||||||2759063849614|02240|Southeast Fairbanks Census Area|64312145207|749823085|G4020|H5|S|21151900325|188839515
||||||||275903025880906|02275|Wrangell City and Borough|6619997018|2384375227|G4020|H6|C|142760034|1517491682
||||||||2759053290478|02282|Yakutat City and Borough|19744203659|3986124692|G4020|H1|A|19197382597|3954769274
||||||||27590758926676|02290|Yukon-Koyukuk Census Area|377038917450|5944775428|G4020|H5|S|254104080132|4075542861
||||||||275901190523800|04001|Apache County|29003486215|54150732|G4020|H1|A|3641034528|6114861
||||||||275901053662184|04003|Cochise County|16083178104|17664572|G4020|H1|A|179930826|102501
||||||||275901203421680|04005|Coconino County|48216135399|116631422|G4020|H1|A|11749035252|11501225
||||||||275901210014257|04007|Gila County|12321426494|97108979|G4020|H1|A|2802269964|3951836
||||||||275901215522681|04009|Graham County|11970605956|47476264|G4020|H1|A|3412172491|6071438
||||||||275901220408981|04012|La Paz County|11646049270|36551630|G4020|H1|A|3048365720|2808620
||||||||275901230330570|04013|Maricopa County|23832530727|62704529|G4020|H1|A|6125207130|2798829
||||||||275901236090883|04015|Mohave County|34530024782|333401646|G4020|H1|A|9200568232|26148758
||||||||275901240836312|04017|Navajo County|25769061034|24125807|G4020|H1|A|4296196890|8675014
||||||||275901253674708|04019|Pima County|23798597680|5112018|G4020|H1|A|2988826427|13894
||||||||275901230330571|04021|Pinal County|13897997152|22344374|G4020|H1|A|3138539016|9279927
||||||||275901272621681|04025|Yavapai County|21038142263|11513573|G4020|H1|A|2423534626|5034646
||||||||275901275506789|04027|Yuma County|14280774789|13253159|G4020|H1|A|8450984685|139619
||||||||2759076722917|05003|Ashley County|2397012349|38656004|G4020|H1|A|19426123|0
||||||||27590404921020|05013|Calhoun County|1628067881|9885352|G4020|H1|A|190671947|546001
||||||||2759076722918|05043|Drew County|2146225294|18789749|G4020|H1|A|110942981|0
||||||||27590306244469|05045|Faulkner County|1676360343|43618226|G4020|H1|A|29753205|1290477
||||||||27590720730631|05047|Franklin County|1577206794|28920052|G4020|H1|A|38519952|575157
||||||||27590307725931|05051|Garland County|1755088398|147363106|G4020|H1|A|48594603|0
||||||||27590312394197|05061|Howard County|1521168583|21361761|G4020|H1|A|190231939|204677
||||||||27590721353804|05071|Johnson County|1711970418|59529094|G4020|H1|A|20421236|6423794
||||||||2759045148345|05077|Lee County|1553493435|57858191|G4020|H1|A|92783431|20019931
||||||||27590322513297|05083|Logan County|1836602033|53970569|G4020|H1|A|37163425|4205239
||||||||2759086077062|05093|Mississippi County|2336409934|72224609|G4020|H1|A|59111748|6827877
||||||||27590324916378|05097|Montgomery County|2021363825|52979164|G4020|H1|A|189850066|81486
||||||||27590462552678|05103|Ouachita County|1897738453|18185713|G4020|H1|A|2591733|0
||||||||27590326664544|05105|Perry County|1428060517|24428402|G4020|H1|A|157478549|0
||||||||2759045319760|05107|Phillips County|1788024160|95966884|G4020|H1|A|21737893|13189439
||||||||27590327323361|05109|Pike County|1554860546|35285663|G4020|H1|A|281391892|15073103
||||||||27590540787594|05113|Polk County|2219200782|12520929|G4020|H1|A|191458671|833107
||||||||27590323494903|05119|Pulaski County|1964009182|126988884|G4020|H1|A|62481237|628847
||||||||275901930861855|05125|Saline County|1873940136|17955554|G4020|H1|A|205139010|0
||||||||27590338422887|05127|Scott County|2312470680|14373451|G4020|H1|A|82643427|27230
||||||||27590341699857|05131|Sebastian County|1375754631|33853972|G4020|H1|A|142929900|534347
||||||||27590464502460|05133|Sevier County|1459650889|45919661|G4020|H1|A|36862634|156392
||||||||27590351096277|05149|Yell County|2409234392|46381281|G4020|H1|A|292893857|1232829
||||||||27590141293924|06001|Alameda County|1910017353|216902808|G4020|H1|A|130586079|164827895
||||||||27590289634197|06003|Alpine County|1912292607|12557304|G4020|H1|A|297199561|1820353
||||||||27590143912562|06005|Amador County|1539965777|29438413|G4020|H1|A|285159673|2110316
||||||||27590417130535|06007|Butte County|4238488698|105260548|G4020|H1|A|507818214|2234745
||||||||27590202403841|06009|Calaveras County|2641837359|43789489|G4020|H1|A|369462782|1973195
||||||||27590312995839|06011|Colusa County|2980332727|14608884|G4020|H1|A|180103677|253293
||||||||27590146137883|06013|Contra Costa County|1856838508|225278783|G4020|H1|A|83299913|140238069
||||||||27590694583066|06015|Del Norte County|2606118035|578742633|G4020|H1|A|1438328948|556902929
||||||||27590143912563|06017|El Dorado County|4423309715|203342317|G4020|H1|A|733229645|97622746
||||||||27590148916964|06019|Fresno County|15432139292|136609893|G4020|H1|A|1964213178|13498566
||||||||27590317922469|06021|Glenn County|3403160301|33693344|G4020|H1|A|660173291|60484
||||||||27590422363115|06023|Humboldt County|9241565229|1253726036|G4020|H1|A|2529315906|1134036007
||||||||275901282617841|06025|Imperial County|10814595262|790216761|G4020|H1|A|84686605|767924507
||||||||27590322588897|06027|Inyo County|26410783053|77280938|G4020|H1|A|16201774005|28758977
||||||||275901063468975|06029|Kern County|21068634240|78407748|G4020|H1|A|7390354179|21900797
||||||||27590680082832|06031|Kings County|3602601923|3164290|G4020|H1|A|1754586281|1608143
||||||||27590894017015|06033|Lake County|3254452700|188748214|G4020|H1|A|1076308077|72350085
||||||||27590360299065|06035|Lassen County|11762017378|463024232|G4020|H1|A|5240571932|298473114
||||||||275901063468976|06037|Los Angeles County|10513491099|1787501506|G4020|H1|A|991864166|1074344675
||||||||27590361353911|06039|Madera County|5534591552|42271836|G4020|H1|A|1387422220|10479655
||||||||27590357299439|06041|Marin County|1347889807|797077678|G4020|H1|A|16986|701122216
||||||||27590409654202|06043|Mariposa County|3752476985|36220865|G4020|H1|A|479068786|1760676
||||||||27590680660260|06045|Mendocino County|9082632466|961740401|G4020|H1|A|1810166106|931632107
||||||||27590353744328|06047|Merced County|5019407132|105277636|G4020|H1|A|701347928|62044153
||||||||27590365948960|06049|Modoc County|10225877726|660503268|G4020|H1|A|4342594753|454018571
||||||||27590672855012|06051|Mono County|7896624729|214695677|G4020|H1|A|3344961176|4032066
||||||||27590330948478|06053|Monterey County|8499623032|1267793988|G4020|H1|A|1313463046|1150378834
||||||||27590699353931|06055|Napa County|1938032964|104262608|G4020|H1|A|20923524|7106208
||||||||27590678277943|06057|Nevada County|2480587302|41531993|G4020|H1|A|383541892|17286622
||||||||275901136115782|06059|Orange County|2053449483|406294114|G4020|H1|A|112876596|357966688
||||||||27590347247534|06061|Placer County|3644306224|246466621|G4020|H1|A|1118122826|209364190
||||||||27590368548772|06063|Plumas County|6612400772|156387638|G4020|H1|A|3519154994|142578380
||||||||27590435411091|06065|Riverside County|18671921166|243201314|G4020|H1|A|7264976829|175529541
||||||||27590751848642|06067|Sacramento County|2500040418|75346029|G4020|H1|A|1969938|18042355
||||||||27590336963765|06069|San Benito County|3596591085|4719300|G4020|H1|A|342109423|7097
||||||||27590435411092|06071|San Bernardino County|51975908919|96406054|G4020|H1|A|29958917504|6125433
||||||||27590676180305|06073|San Diego County|10904455257|817317026|G4020|H1|A|871942992|692506546
||||||||27590355701186|06075|San Francisco County|121507089|479146790|G4020|H6|C|2206198|467782969
||||||||27590407929894|06079|San Luis Obispo County|8549172832|815618272|G4020|H1|A|1568249379|715822414
||||||||27590351392772|06081|San Mateo County|1161922036|757123906|G4020|H1|A|52120304|740305470
||||||||27590680369561|06083|Santa Barbara County|7080860393|2729213352|G4020|H1|A|2463777719|2697589978
||||||||27590154292295|06085|Santa Clara County|3343892719|33595850|G4020|H1|A|128513087|17561714
||||||||27590343736337|06087|Santa Cruz County|1152823584|419714230|G4020|H1|A|0|416295401
||||||||27590681809751|06089|Shasta County|9778551576|186157964|G4020|H1|A|2531296805|11613607
||||||||27590346038394|06091|Sierra County|2468694582|23299110|G4020|H1|A|1176811453|21753225
||||||||275901916854807|06093|Siskiyou County|16261933231|179149816|G4020|H1|A|4665322898|40915464
||||||||27590692736233|06095|Solano County|2128527683|218619356|G4020|H1|A|88707093|156005542
||||||||27590690880842|06097|Sonoma County|4080862341|498084088|G4020|H1|A|25189385|455392804
||||||||27590156479732|06099|Stanislaus County|3874667294|46351770|G4020|H1|A|22688615|12660
||||||||27590358177427|06101|Sutter County|1560975503|14811541|G4020|H1|A|135142149|3628728
||||||||27590665023800|06103|Tehama County|7638229340|33767224|G4020|H1|A|3026088882|2348458
||||||||27590374986233|06105|Trinity County|8234265080|73407950|G4020|H1|A|1111102272|62335294
||||||||27590148916965|06107|Tulare County|12493840855|37260863|G4020|H1|A|4015595082|11217090
||||||||27590672676823|06109|Tuolumne County|5752133237|138668837|G4020|H1|A|2444606147|31206503
||||||||275901146646849|06111|Ventura County|4767622152|947345735|G4020|H1|A|125948767|884674667
||||||||27590695758752|06113|Yolo County|2628145869|22877242|G4020|H1|A|117038233|355439
||||||||27590347247535|06115|Yuba County|1636887865|31084093|G4020|H1|A|79580235|132429
||||||||27590704502958|08041|El Paso County|5507391789|7070359|G4020|H1|A|211906624|100
||||||||275901343259915|08083|Montezuma County|5255990018|27208195|G4020|H1|A|564038958|318747
||||||||27590704502959|08101|Pueblo County|6181242644|28941441|G4020|H1|A|192587565|680881
||||||||27590697754523|09001|Fairfield County|1618664029|549280913|G4020|H4|N|0|424559761
||||||||27590334171251|09007|Middlesex County|956493753|180679141|G4020|H4|N|0|120492180
||||||||27590338916281|09009|New Haven County|1565143226|667604268|G4020|H4|N|60749|591600466
||||||||27590349989035|09011|New London County|1722511318|276863144|G4020|H4|N|0|174815258
||||||||27590404589427|10001|Kent County|1517891095|549776917|G4020|H1|A|0|497061616
||||||||27590331579041|10003|New Castle County|1104206946|175316802|G4020|H1|A|3499973|123247063
||||||||27590337189172|10005|Sussex County|2424633517|674085951|G4020|H1|A|0|534627917
||||||||2759050338663|12003|Baker County|1515738972|9686120|G4020|H1|A|449017909|228345
||||||||2759081944609|12005|Bay County|1964874034|1833915193|G4020|H1|A|227848351|1473892860
||||||||27590288020571|12009|Brevard County|2628762626|1403940953|G4020|H1|A|151806615|925991393
||||||||27590379244928|12011|Broward County|3115058072|273491305|G4020|H1|A|1657152481|200916899
||||||||2759086549536|12013|Calhoun County|1469394597|18070425|G4020|H1|A|237483671|0
||||||||27590331883763|12015|Charlotte County|1764089884|689239393|G4020|H1|A|21026100|543270831
||||||||2759086675897|12017|Citrus County|1507161659|981147323|G4020|H1|A|61831460|687924564
||||||||2759050422701|12019|Clay County|1565935901|100834764|G4020|H1|A|194087149|9379995
||||||||27590373886258|12021|Collier County|5172076456|1575209325|G4020|H1|A|25385103|1332544490
||||||||2759081703660|12023|Columbia County|2065648312|9755972|G4020|H1|A|392255830|3264955
||||||||2759050492710|12029|Dixie County|1826029565|876347537|G4020|H1|A|181558889|783126343
||||||||2759046365745|12031|Duval County|1975244256|403564956|G4020|H6|C|0|161715554
||||||||27590117561516|12033|Escambia County|1701603649|1213972864|G4020|H1|A|77034494|1049674597
||||||||2759086769969|12035|Flagler County|1259255278|219183435|G4020|H1|A|86671663|153528911
||||||||2759086824527|12037|Franklin County|1411498965|2270440522|G4020|H1|A|755039948|1788984532
||||||||27590379679504|12043|Glades County|2089659345|467293938|G4020|H1|A|31073415|432759368
||||||||2759086954056|12045|Gulf County|1433437353|624436316|G4020|H1|A|411290739|479399105
||||||||2759049845552|12047|Hamilton County|1332018549|12330813|G4020|H1|A|126489907|0
||||||||27590380078051|12051|Hendry County|2993896403|86578552|G4020|H1|A|14228896|61478063
||||||||2759087070846|12053|Hernando County|1224975810|627928028|G4020|H1|A|0|546514125
||||||||27590338242286|12055|Highlands County|2635726544|230667884|G4020|H1|A|214336900|4839548
||||||||27590382284017|12057|Hillsborough County|2646680847|803027226|G4020|H1|A|4878079|636887788
||||||||27590341262617|12061|Indian River County|1302272805|295509938|G4020|H1|A|0|183137355
||||||||2759087362017|12065|Jefferson County|1549018611|193063921|G4020|H1|A|43714049|157599653
||||||||2759046680971|12067|Lafayette County|1407256302|11817999|G4020|H1|A|502831057|1028012
||||||||27590404118252|12069|Lake County|2464507354|531492923|G4020|H1|A|19448728|75457470
||||||||27590349480135|12071|Lee County|2022803068|1900583561|G4020|H1|A|599913|1343254643
||||||||2759087487836|12073|Leon County|1731224399|86410055|G4020|H1|A|247942036|754675
||||||||2759087676612|12075|Levy County|2896183121|1224372357|G4020|H1|A|444837902|1070860588
||||||||2759087750404|12077|Liberty County|2164099094|19582444|G4020|H1|A|634720807|286642
||||||||2759078867665|12079|Madison County|1804001483|49634046|G4020|H1|A|116962941|130880
||||||||27590351988147|12081|Manatee County|1923744062|573084803|G4020|H1|A|0|382239419
||||||||27590263746993|12083|Marion County|4113993941|192281837|G4020|H1|A|515210805|6641179
||||||||27590354221720|12085|Martin County|1408491293|542091557|G4020|H1|A|0|417718952
||||||||27590385017141|12086|Miami-Dade County|4920728991|1267583864|G4020|H1|A|1052612953|989717744
||||||||27590355772672|12087|Monroe County|2546067521|11153842007|G4020|H1|A|305007844|9736887907
||||||||2759078453168|12089|Nassau County|1680075562|200050173|G4020|H1|A|0|133454810
||||||||2759088096446|12091|Okaloosa County|2409192557|819717338|G4020|H1|A|629936979|728085488
||||||||27590357087143|12093|Okeechobee County|1992126184|317924583|G4020|H1|A|12553398|278050630
||||||||2759090635982|12095|Orange County|2336230360|262653307|G4020|H1|A|118519422|83662312
||||||||27590360974220|12097|Osceola County|3438328928|462135107|G4020|H1|A|0|44990187
||||||||27590354221721|12099|Palm Beach County|5087510105|1084950939|G4020|H1|A|1637687854|986076992
||||||||27590366517485|12101|Pasco County|1933733392|694477432|G4020|H1|A|1367578|624817147
||||||||2759088505238|12103|Pinellas County|708892951|1525080658|G4020|H1|A|1962619|1301697622
||||||||27590369597060|12105|Polk County|4656186394|550757251|G4020|H1|A|38029882|686622
||||||||2759047968942|12109|St. Johns County|1555661651|572103225|G4020|H1|A|0|354636277
||||||||27590341262619|12111|St. Lucie County|1480593673|300906587|G4020|H1|A|0|182121527
||||||||2759090303811|12113|Santa Rosa County|2622106399|543294939|G4020|H1|A|265666375|445633915
||||||||27590497572296|12115|Sarasota County|1440039085|1086628535|G4020|H1|A|190193633|938048912
||||||||27590374600382|12119|Sumter County|1442967719|58773420|G4020|H1|A|203311150|39882
||||||||2759047862157|12123|Taylor County|2702224058|1213576997|G4020|H1|A|822348096|1141101333
||||||||2759090908048|12127|Volusia County|2852384800|857611281|G4020|H1|A|34898246|609186230
||||||||2759091027740|12129|Wakulla County|1570615734|804111188|G4020|H1|A|508271238|717640941
||||||||2759091152601|12131|Walton County|2689165614|961289588|G4020|H1|A|526055338|849017391
||||||||2759087285991|12133|Washington County|1514305979|81008171|G4020|H1|A|88706946|4786034
||||||||27590351719361|13025|Brantley County|1147972258|10291563|G4020|H1|A|34975544|103593
||||||||27590353276156|13029|Bryan County|1133280746|43754751|G4020|H1|A|435008347|4033593
||||||||27590409561612|13039|Camden County|1632622505|392508756|G4020|H1|A|356392943|286630409
||||||||27590261291194|13049|Charlton County|2020415648|5963237|G4020|H1|A|217834715|500131
||||||||27590361757389|13051|Chatham County|1121772804|509852786|G4020|H1|A|278250427|456797428
||||||||27590406568841|13053|Chattahoochee County|644225830|6277089|G4020|H6|C|306712465|3779824
||||||||2759048455660|13065|Clinch County|2110829175|23303279|G4020|H1|A|954054865|12005933
||||||||27590365575204|13073|Columbia County|751591130|45353300|G4020|H1|A|9331189|23697
||||||||2759048475393|13101|Echols County|1088849471|809587|G4020|H6|C|316118978|0
||||||||27590370900427|13103|Effingham County|1240161595|10552453|G4020|H1|A|41417631|1986333
||||||||27590372365249|13109|Evans County|473694905|10295112|G4020|H1|A|73417139|985728
||||||||27590374508909|13127|Glynn County|1086851231|429107116|G4020|H1|A|47032969|300086749
||||||||2759049313083|13173|Lanier County|509030778|8418857|G4020|H1|A|16461765|0
||||||||27590380188863|13179|Liberty County|1337654102|222884791|G4020|H1|A|411350668|167635491
||||||||27590381087070|13183|Long County|1037006567|8862019|G4020|H1|A|113234580|327381
||||||||27590447444949|13189|McDuffie County|666590014|23114032|G4020|H1|A|7596046|16036
||||||||27590381931049|13191|McIntosh County|1117201986|369164686|G4020|H1|A|41550820|249725823
||||||||27590383551548|13215|Muscogee County|560718761|11696847|G4020|H6|C|150530255|29065
||||||||27590389324539|13245|Richmond County|840036613|10995252|G4020|H6|C|110775040|746564
||||||||27590498654348|13263|Talbot County|1013662778|8766848|G4020|H1|A|2687513|0
||||||||27590393237026|13267|Tattnall County|1245369512|19447412|G4020|H1|A|15828529|0
||||||||2759050033815|13299|Ware County|2329026445|22649478|G4020|H1|A|961472265|4241710
||||||||27590428546884|13305|Wayne County|1662287070|17768149|G4020|H1|A|197263244|20239
||||||||2759092139799|15001|Hawaii County|10433635373|2739472560|G4020|H1|A|3720644502|2114918947
||||||||2759047647837|15003|Honolulu County|1555612626|4054877012|G4020|H6|A|8127210|3885355979
||||||||2759050065412|15005|Kalawao County|31057603|105764468|G4020|H4|G|0|91638723
||||||||2759050129435|15007|Kauai County|1605492716|1674243852|G4020|H1|A|548997503|1588597136
||||||||2759050065413|15009|Maui County|3008348848|3203294214|G4020|H1|A|180938271|2903076489
||||||||27590339374049|16001|Ada County|2724704673|22159753|G4020|H1|A|931676659|2155577
||||||||27590406029755|16003|Adams County|3529648934|17359846|G4020|H1|A|970513056|5685094
||||||||27590386684976|16005|Bannock County|2881339392|92073120|G4020|H1|A|189824255|88289421
||||||||27590354201230|16007|Bear Lake County|2527123155|191364281|G4020|H1|A|233539976|21032
||||||||27590131597828|16009|Benewah County|2012242914|18803193|G4020|H1|A|48260003|38244
||||||||27590680897769|16011|Bingham County|5422741967|68632371|G4020|H1|A|1413454435|3305941
||||||||27590132597300|16013|Blaine County|6831709646|44656616|G4020|H1|A|2108046018|17012958
||||||||27590403612015|16015|Boise County|4919826443|19104286|G4020|H1|A|1328586176|1600225
||||||||27590130750669|16017|Bonner County|4489020248|478920605|G4020|H1|A|710679859|189401
||||||||27590345851166|16019|Bonneville County|4832872003|88855960|G4020|H1|A|1054377601|1639615
||||||||27590137222849|16021|Boundary County|3285862966|24278846|G4020|H1|A|213389099|0
||||||||27590406901613|16023|Butte County|5792474008|5259978|G4020|H1|A|1253596302|885109
||||||||27590133821988|16025|Camas County|2782253888|11548054|G4020|H1|A|144925459|485280
||||||||27590496200843|16029|Caribou County|4569240776|89216879|G4020|H1|A|786510489|8618077
||||||||27590347819838|16031|Cassia County|6644897877|39158534|G4020|H1|A|1071249493|19792141
||||||||27590135318982|16033|Clark County|4566524477|2476453|G4020|H1|A|2656211348|2055895
||||||||27590152191148|16035|Clearwater County|6364412864|79592497|G4020|H1|A|5167032428|40598739
||||||||27590263480029|16039|Elmore County|7964417374|68330393|G4020|H1|A|858171780|2202529
||||||||27590358101185|16041|Franklin County|1717211160|12153472|G4020|H1|A|46630401|15288
||||||||27590266025228|16043|Fremont County|4827633116|83440652|G4020|H1|A|1600125118|2875630
||||||||27590147054597|16045|Gem County|1449796224|12491930|G4020|H1|A|136191049|992870
||||||||27590141000579|16047|Gooding County|1888935208|12470063|G4020|H1|A|751735249|977561
||||||||27590681157982|16049|Idaho County|21956620029|67533572|G4020|H1|A|5864784606|7479026
||||||||27590267441651|16051|Jefferson County|2832619466|31166194|G4020|H1|A|1044864482|216495
||||||||27590349877404|16053|Jerome County|1547629731|12908802|G4020|H1|A|366881383|1130703
||||||||27590153640613|16055|Kootenai County|3205833858|184447536|G4020|H1|A|420831116|0
||||||||27590360942083|16057|Latah County|2786483032|2369979|G4020|H1|A|371235403|302134
||||||||27590268724412|16063|Lincoln County|3111517506|11588561|G4020|H1|A|1949564238|2543917
||||||||27590351297088|16065|Madison County|1215396326|10500895|G4020|H1|A|423900443|61591
||||||||27590270516110|16067|Minidoka County|1960610406|13928528|G4020|H1|A|1039665162|1318243
||||||||27590388256733|16073|Owyhee County|19860558063|74129063|G4020|H1|A|10819606448|19246595
||||||||27590677073198|16077|Power County|3635892401|99205466|G4020|H1|A|807617331|56868264
||||||||27590148584434|16079|Shoshone County|6830898576|13962457|G4020|H1|A|3965194571|5621540
||||||||27590149965307|16083|Twin Falls County|4977206090|18070790|G4020|H1|A|1518553274|1182802
||||||||27590364006820|16085|Valley County|9492613296|177110436|G4020|H1|A|3169014462|22674884
||||||||27590197905492|17031|Cook County|2447350649|1786331385|G4020|H1|A|7971|1718132176
||||||||27590272629436|17097|Lake County|1148954660|2395002634|G4020|H1|A|0|2298779958
||||||||27590100465299|18005|Bartholomew County|1053968848|6715105|G4020|H1|A|58562392|0
||||||||27590101267580|18013|Brown County|808043849|12025990|G4020|H1|A|2083535|0
||||||||27590131079178|18051|Gibson County|1262317070|30903211|G4020|H1|A|39698565|14101571
||||||||27590112997269|18077|Jefferson County|934053824|6143080|G4020|H1|A|37131219|0
||||||||27590113456944|18079|Jennings County|975382324|4528274|G4020|H1|A|25328529|0
||||||||27590271925613|18089|Lake County|1291702720|331279861|G4020|H1|A|0|287882078
||||||||27590137319190|18091|LaPorte County|1549555244|38779440|G4020|H1|A|0|18416421
||||||||27590114702345|18101|Martin County|869615721|12033245|G4020|H1|A|155900382|228480
||||||||27590137319191|18127|Porter County|1082885598|268619696|G4020|H1|A|0|240184630
||||||||27590116990824|18137|Ripley County|1156231104|4243112|G4020|H1|A|98575773|631418
||||||||27590692028402|19005|Allamakee County|1655115638|51094064|G4020|H1|A|32252262|17564395
||||||||27590101368718|20025|Clark County|2524300310|6603384|G4020|H1|A|540875513|3283442
||||||||2759067864166|20027|Clay County|1671315276|26701337|G4020|H1|A|1777824|11758811
||||||||2759058283104|20051|Ellis County|2330762295|1197085|G4020|H1|A|41398401|24285
||||||||27590162389076|20061|Geary County|996272886|51602808|G4020|H1|A|45031265|41680947
||||||||2759067864167|20161|Riley County|1579116499|32002514|G4020|H1|A|275439043|9644
||||||||27590209184801|21007|Ballard County|639538865|70070117|G4020|H1|A|43007087|47001001
||||||||27590118851690|21015|Boone County|637882924|26460891|G4020|H1|A|57622|25144967
||||||||27590205513095|21019|Boyd County|414054165|5569239|G4020|H1|A|0|4434023
||||||||27590204029237|21023|Bracken County|525033511|16146675|G4020|H1|A|0|14420728
||||||||27590207109876|21027|Breckinridge County|1475798321|40885738|G4020|H1|A|0|18623169
||||||||27590119246302|21029|Bullitt County|769360733|8320823|G4020|H1|A|130724473|1582253
||||||||27590119604357|21037|Campbell County|391968586|20892234|G4020|H1|A|983|17752591
||||||||27590209773757|21039|Carlisle County|490647294|24707972|G4020|H1|A|16984164|16670729
||||||||27590119874667|21041|Carroll County|333273743|22243659|G4020|H1|A|0|17010463
||||||||27590140419347|21047|Christian County|1858342356|16919159|G4020|H1|A|29313267|172959
||||||||27590141939450|21055|Crittenden County|932300423|29349959|G4020|H1|A|4882206|22323647
||||||||27590142598620|21059|Daviess County|1187227811|46825915|G4020|H1|A|3656700|33657681
||||||||27590146144054|21075|Fulton County|533351953|64091345|G4020|H1|A|68014220|53953526
||||||||27590104429933|21077|Gallatin County|254761072|16238078|G4020|H1|A|15368|13373462
||||||||27590159917408|21089|Greenup County|892153290|25863982|G4020|H1|A|21912|18168252
||||||||27590160547963|21091|Hancock County|486071470|29136422|G4020|H1|A|40203|26090578
||||||||27590107688716|21093|Hardin County|1614586535|17428816|G4020|H1|A|148227651|4163045
